Name,Surname,Patronymic,GitHub,Email,Group
yewoetuwqddo,mvnfhppn,kpfrbbsql,mawiodmvinqg@GitHub,ocxncd@Email,30
gewthqgyu,jcgljpicvad,rnsbb,thlvkfga@GitHub,foqioajuswa@Email,448
luwwkhaajd,iekbwxp,whflrxvoiqaam,bhad@GitHub,iifpkia@Email,55
gewthqgyu,jcgljpicvad,rnsbb,thlvkfga@GitHub,foqioajuswa@Email,448
ciedohc,icsx,dffpa,jcqplevabvei@GitHub,hubswtqu@Email,948
ccpvorcqkkoop,qwwidoq,cdhujlilafx,cihypyvksvfdb@GitHub,qqycbebm@Email,318
njaqdddpo,odnqiqstus,oimhg,wdcrshwevvvxl@GitHub,txjolfl@Email,268
yflvgjnxdk,ffmojkd,ljrkktsgk,ikvl@GitHub,pqys@Email,441
gewthqgyu,jcgljpicvad,rnsbb,thlvkfga@GitHub,foqioajuswa@Email,448
blwfiqjxej,qvbvpv,vkxcwnm,pnbwgtcxxlauw@GitHub,yxfncreryyd@Email,89
njaqdddpo,odnqiqstus,oimhg,wdcrshwevvvxl@GitHub,txjolfl@Email,268
kkqgkk,acxs,vvcpokpwwyfah,bwecgyujv@GitHub,tfko@Email,128
lrcprbs,qqredogmj,qdacs,bggkcfmeel@GitHub,feil@Email,469
blwfiqjxej,qvbvpv,vkxcwnm,pnbwgtcxxlauw@GitHub,yxfncreryyd@Email,89
