Name,Surname,Patronymic,GitHub,Email,Group
vdyc,ljql,mywevmtfny,xfejmefuf@GitHub,llopnlc@Email,881
xblwalraovtpq,nevov,gvodgs,cqlvyab@GitHub,xxhqy@Email,31
ywqctqnqpt,bwmi,ddrneleqf,fgfxhaxqi@GitHub,ekpa@Email,31
oltdhqrcefgd,kkyoiyadokgvs,emfsmscgcwvw,ycelqapqh@GitHub,wbrsq@Email,333
xqsl,vrff,wnjboumen,ewiagmkgjj@GitHub,hvcx@Email,919
vdyc,ljql,mywevmtfny,xfejmefuf@GitHub,llopnlc@Email,836
oeumkmrkvbm,ddqlfolqk,yhgd,mdvgd@GitHub,xmtrddckgfsn@Email,691
wimebyhjtlynt,snjcmkoc,dtgopvrdpaqm,narn@GitHub,wxuawh@Email,724
fofbtdkmo,hcoj,axajn,ccclhywibyn@GitHub,chqeytkaan@Email,691
ywqctqnqpt,bwmi,ddrneleqf,fgfxhaxqi@GitHub,ekpa@Email,257
pfloqcuhm,ylxajimhn,inal,aeuveavfo@GitHub,bbiyiwe@Email,836
oeumkmrkvbm,ddqlfolqk,yhgd,mdvgd@GitHub,xmtrddckgfsn@Email,836
xqsl,vrff,wnjboumen,ewiagmkgjj@GitHub,hvcx@Email,606
fmtaxud,djdldy,krvro,uqpubcj@GitHub,wxracngsyoe@Email,31
uthifpiegmcf,ykcxrhiwqigh,evkuhswmumr,wnjwv@GitHub,rhmf@Email,606
wimebyhjtlynt,snjcmkoc,dtgopvrdpaqm,narn@GitHub,wxuawh@Email,745
qlmbqvjqrhybh,ubbbewhlv,nlsexagfia,ndaloqnjqlymw@GitHub,yfsunhndhnsh@Email,919
vdyc,ljql,mywevmtfny,xfejmefuf@GitHub,llopnlc@Email,606
fofbtdkmo,hcoj,axajn,ccclhywibyn@GitHub,chqeytkaan@Email,325
