Name,Surname,Patronymic,GitHub,Email,Group
wokop,kwfkcyj,wcbxm,ndvq@GitHub,vpityimnrwob@Email,55
phfcfdl,upwhg,beoxjvedwn,xrbqclpxa@GitHub,eimoyivorrm@Email,747
eudkqbfu,cjrvmjliyht,avpdtnwqoyw,jvxbrmrmfjvfa@GitHub,cddx@Email,545
ctcritlqw,bvkgrwpdtdy,loxw,gxfyd@GitHub,tetpydj@Email,30
sejb,bhudabgoxf,nfkugrftcuq,bpbsshogwcs@GitHub,laqithkk@Email,435
bclbwv,nibithcx,opxhct,yjeuglqmoo@GitHub,hfrbstfax@Email,737
tojyavcnhlfe,ysvphfkegq,npqr,plls@GitHub,andspuwdyk@Email,992
madcnouxe,ciobnkywlhihv,pxxfkl,twliueqppolon@GitHub,kjqfpnn@Email,826
qbaqpqwybfdf,eweaah,nmrjputyd,qhvweituspjj@GitHub,luldhxjaitc@Email,425
xmnskrd,rfxtsioixnmcq,mumvhapa,euduugyhbxsk@GitHub,fghbldjlc@Email,689
sndvobemhvaym,jsvmtk,uwnnbwhvxjid,gtoueqgnuvp@GitHub,mreagadwj@Email,27
apxmdiuvgdngh,pwpjkbukjdx,wwsnbxea,snvruau@GitHub,llrucnm@Email,990
etamxppednyb,vegonfiokhoie,apqmsvvbejlw,vqwbwxyfcpba@GitHub,okbv@Email,862
tbygpvmx,ibkxjss,pduckcqgv,wmjefwggxipde@GitHub,alstv@Email,114
gtlbs,anuqru,jfcnmlgkyg,becicifmnuwb@GitHub,ugrwerrh@Email,481
