Group,Name,Surname,Patronymic,GitHub,Email,ExamResult
111,xfwoyyql,gcentcjsgixus,mfigx,pmbycgknf@GitHub,qsjmqijykmrdb@Email,5


284,pqnhojocys,djtxewneltc,oqtsuaklcvlg,gypmpl@GitHub,iruxtc@Email,2


351,ylbvtvbpin,edkhadwqah,nthkbttkrgdf,keosludt@GitHub,mtce@Email,2
386,fody,ambkashtqm,tmjvxdvqqbijs,mvcpxuptwmb@GitHub,thfbbagnlqsjw@Email,5
386,ffcrof,kbvxa,xapws,squfopwrc@GitHub,tkbblygu@Email,3


517,fody,ambkashtqm,tmjvxdvqqbijs,mvcpxuptwmb@GitHub,thfbbagnlqsjw@Email,5
517,iyats,ffjlffrgxlupr,qctxidnboqe,qmgsnxvascs@GitHub,drkcytcmvkw@Email,4


546,fody,ambkashtqm,tmjvxdvqqbijs,mvcpxuptwmb@GitHub,thfbbagnlqsjw@Email,5


709,nghonwpe,qqeyr,itcevuo,cvdyadcwjnpoi@GitHub,vtsblsn@Email,2
709,mtgc,emtbwryxq,hvnbfm,fxjkgkfnqygj@GitHub,xcwxtmwgwnhf@Email,5
709,nghonwpe,qqeyr,itcevuo,cvdyadcwjnpoi@GitHub,vtsblsn@Email,2


766,vclqia,lsjivrukenyl,evkxf,wtaeu@GitHub,ucyaucysthp@Email,5


889,fody,ambkashtqm,tmjvxdvqqbijs,mvcpxuptwmb@GitHub,thfbbagnlqsjw@Email,5


945,ffcrof,kbvxa,xapws,squfopwrc@GitHub,tkbblygu@Email,3


980,pyyrimluv,qkxgc,kqnps,pumhrltm@GitHub,cmusvctvigpi@Email,1
980,pqnhojocys,djtxewneltc,oqtsuaklcvlg,gypmpl@GitHub,iruxtc@Email,2
980,fody,ambkashtqm,tmjvxdvqqbijs,mvcpxuptwmb@GitHub,thfbbagnlqsjw@Email,5


